"","lemma","total","v1s","v1sFreq","v1p","v1pFreq","v2s","v2sFreq","v2p","v2pFreq","v3s","v3sFreq","v3p","v3pFreq"
"1106","lego2",17,2,0.117647058823529,0,0,4,0.235294117647059,0,0,9,0.529411764705882,2,0.117647058823529
"1114","licet1",19,0,0,0,0,0,0,0,0,19,1,0,0
"1122","loquor",18,3,0.166666666666667,2,0.111111111111111,0,0,0,0,8,0.444444444444444,5,0.277777777777778
"1123","loquor1",13,2,0.153846153846154,1,0.0769230769230769,2,0.153846153846154,0,0,8,0.615384615384615,0,0
"1135","malo1",22,10,0.454545454545455,0,0,1,0.0454545454545455,0,0,6,0.272727272727273,5,0.227272727272727
"1139","maneo1",14,0,0,1,0.0714285714285714,2,0.142857142857143,0,0,6,0.428571428571429,5,0.357142857142857
"1147","memini1",13,2,0.153846153846154,2,0.153846153846154,2,0.153846153846154,2,0.153846153846154,3,0.230769230769231,2,0.153846153846154
"1169","mitto",11,1,0.0909090909090909,0,0,0,0,0,0,6,0.545454545454545,4,0.363636363636364
"1170","mitto1",44,7,0.159090909090909,1,0.0227272727272727,6,0.136363636363636,0,0,23,0.522727272727273,7,0.159090909090909
"1184","moveo1",11,1,0.0909090909090909,1,0.0909090909090909,0,0,0,0,7,0.636363636363636,2,0.181818181818182
"1190","muto1",14,1,0.0714285714285714,0,0,2,0.142857142857143,1,0.0714285714285714,7,0.5,3,0.214285714285714
"1195","nascor1",10,0,0,0,0,0,0,0,0,4,0.4,6,0.6
"1204","nego1",11,1,0.0909090909090909,0,0,4,0.363636363636364,1,0.0909090909090909,5,0.454545454545455,0,0
"1208","nescio1",26,13,0.5,0,0,5,0.192307692307692,1,0.0384615384615385,7,0.269230769230769,0,0
