"","lemma","Total","one_sg","pctA","two_sg","pctB","three_sg","pctC","one_pl","pctD","two_pl","pctE","three_pl","pctF","other","pct_other"
"1666","memoro1",11,6,0.545454545454545,1,0.0909090909090909,0,0,0,0,0,0,1,0.0909090909090909,0,0
"1693","miror1",19,1,0.0526315789473684,1,0.0526315789473684,1,0.0526315789473684,2,0.105263157894737,0,0,2,0.105263157894737,1,1
"1695","misceo1",11,0,0,0,0,2,0.181818181818182,0,0,1,0.0909090909090909,0,0,1,1
"1703","mitto",20,1,0.05,0,0,6,0.3,0,0,0,0,4,0.2,1,1
"1704","mitto1",65,7,0.107692307692308,6,0.0923076923076923,23,0.353846153846154,1,0.0153846153846154,0,0,7,0.107692307692308,0,0
"1718","morior1",15,2,0.133333333333333,0,0,1,0.0666666666666667,0,0,0,0,1,0.0666666666666667,0,0
"1719","moror1",10,1,0.1,0,0,3,0.3,0,0,0,0,1,0.1,1,1
"1721","moveo",11,1,0.0909090909090909,0,0,2,0.181818181818182,0,0,0,0,5,0.454545454545455,0,0
"1722","moveo1",27,1,0.037037037037037,0,0,7,0.259259259259259,1,0.037037037037037,0,0,2,0.0740740740740741,0,0
"1732","muto1",29,1,0.0344827586206897,2,0.0689655172413793,7,0.241379310344828,0,0,1,0.0344827586206897,3,0.103448275862069,0,0
"1738","narro1",13,2,0.153846153846154,5,0.384615384615385,1,0.0769230769230769,0,0,1,0.0769230769230769,0,0,1,1
"1739","nascor",24,2,0.0833333333333333,0,0,1,0.0416666666666667,0,0,0,0,0,0,0,0
"1740","nascor1",19,0,0,0,0,4,0.210526315789474,0,0,0,0,6,0.315789473684211,1,1
"1752","nego",10,0,0,2,0.2,6,0.6,0,0,0,0,1,0.1,0,0
"1753","nego1",15,1,0.0666666666666667,4,0.266666666666667,5,0.333333333333333,0,0,1,0.0666666666666667,0,0,1,1
"1759","nescio1",26,13,0.5,5,0.192307692307692,7,0.269230769230769,0,0,1,0.0384615384615385,0,0,0,0
"1763","nitor1",10,0,0,0,0,4,0.4,0,0,0,0,0,0,1,1
"1768","nolo",12,2,0.166666666666667,6,0.5,1,0.0833333333333333,0,0,1,0.0833333333333333,2,0.166666666666667,0,0
"1769","nolo1",19,4,0.210526315789474,5,0.263157894736842,4,0.210526315789474,0,0,2,0.105263157894737,2,0.105263157894737,0,0
"1771","nomino1",10,0,0,0,0,6,0.6,2,0.2,0,0,0,0,0,0
"1772","nosco",15,1,0.0666666666666667,0,0,3,0.2,0,0,0,0,1,0.0666666666666667,1,1
"1773","nosco1",26,4,0.153846153846154,2,0.0769230769230769,6,0.230769230769231,1,0.0384615384615385,2,0.0769230769230769,1,0.0384615384615385,0,0
"1776","noto1",11,4,0.363636363636364,0,0,3,0.272727272727273,2,0.181818181818182,0,0,2,0.181818181818182,0,0
"1833","occido1",33,0,0,1,0.0303030303030303,5,0.151515151515152,0,0,0,0,4,0.121212121212121,1,1
"1840","occupo",10,0,0,0,0,4,0.4,0,0,0,0,1,0.1,1,1
"1845","odi1",10,2,0.2,1,0.1,2,0.2,0,0,0,0,3,0.3,0,0
"1864","oportet1",23,0,0,0,0,23,1,0,0,0,0,0,0,0,0
"1868","opprimo",14,0,0,0,0,1,0.0714285714285714,0,0,0,0,1,0.0714285714285714,1,1
"1872","opto1",11,1,0.0909090909090909,2,0.181818181818182,0,0,1,0.0909090909090909,1,0.0909090909090909,1,0.0909090909090909,0,0
"1881","oro1",16,5,0.3125,1,0.0625,4,0.25,0,0,0,0,0,0,1,1
"1883","ostendo",14,1,0.0714285714285714,0,0,7,0.5,1,0.0714285714285714,0,0,0,0,0,0
"1884","ostendo1",16,6,0.375,0,0,8,0.5,0,0,0,0,1,0.0625,0,0
"1901","parco1",14,1,0.0714285714285714,2,0.142857142857143,3,0.214285714285714,0,0,2,0.142857142857143,2,0.142857142857143,0,0
"1906","pario2",21,0,0,0,0,11,0.523809523809524,0,0,0,0,2,0.0952380952380952,0,0
"1907","paro1",35,1,0.0285714285714286,0,0,13,0.371428571428571,0,0,0,0,3,0.0857142857142857,1,1
"1908","paro2",26,1,0.0384615384615385,0,0,3,0.115384615384615,0,0,0,0,4,0.153846153846154,1,1
"1920","pateo1",11,0,0,0,0,4,0.363636363636364,0,0,0,0,5,0.454545454545455,0,0
"1921","patior",31,4,0.129032258064516,3,0.0967741935483871,3,0.0967741935483871,2,0.0645161290322581,0,0,3,0.0967741935483871,0,0
"1922","patior1",19,1,0.0526315789473684,1,0.0526315789473684,2,0.105263157894737,0,0,1,0.0526315789473684,0,0,1,1
"1934","pendo1",13,0,0,0,0,3,0.230769230769231,0,0,1,0.0769230769230769,3,0.230769230769231,1,1
"1949","percutio1",12,0,0,0,0,7,0.583333333333333,0,0,0,0,0,0,1,1
"1950","perdo",14,0,0,0,0,0,0,0,0,0,0,2,0.142857142857143,1,1
"1951","perdo1",18,0,0,1,0.0555555555555556,5,0.277777777777778,1,0.0555555555555556,0,0,1,0.0555555555555556,0,0
"1957","pereo",16,2,0.125,0,0,4,0.25,0,0,0,0,5,0.3125,1,1
"1958","pereo1",19,0,0,1,0.0526315789473684,5,0.263157894736842,1,0.0526315789473684,0,0,5,0.263157894736842,1,1
"1979","permitto1",10,1,0.1,1,0.1,3,0.3,0,0,1,0.1,0,0,1,1
"2016","pervenio1",11,4,0.363636363636364,0,0,4,0.363636363636364,1,0.0909090909090909,0,0,1,0.0909090909090909,0,0
"2020","peto",34,3,0.0882352941176471,1,0.0294117647058824,9,0.264705882352941,0,0,0,0,7,0.205882352941176,1,1
"2021","peto1",29,2,0.0689655172413793,5,0.172413793103448,11,0.379310344827586,2,0.0689655172413793,0,0,4,0.137931034482759,0,0
"2028","placeo",11,0,0,0,0,10,0.909090909090909,0,0,0,0,0,0,0,0
"2029","placeo1",21,1,0.0476190476190476,1,0.0476190476190476,11,0.523809523809524,1,0.0476190476190476,0,0,3,0.142857142857143,0,0
"2046","pono",17,1,0.0588235294117647,1,0.0588235294117647,4,0.235294117647059,0,0,0,0,1,0.0588235294117647,1,1
"2047","pono1",56,4,0.0714285714285714,5,0.0892857142857143,14,0.25,0,0,1,0.0178571428571429,5,0.0892857142857143,0,0
"2053","porto1",10,0,0,0,0,2,0.2,0,0,0,0,3,0.3,1,1
"2055","posco1",12,2,0.166666666666667,0,0,9,0.75,0,0,0,0,0,0,0,0
"2060","possum",62,3,0.0483870967741935,5,0.0806451612903226,30,0.483870967741935,0,0,0,0,11,0.17741935483871,1,1
